"date","ILIper100k"
2015-10-05,21.808088818398
2015-10-12,23.237575159032
2015-10-19,24.989187370849
2015-10-26,16.015374759769
2015-11-02,22.038250737802
2015-11-09,25.494855138233
2015-11-16,21.341246532047
2015-11-23,33.808979267141
2015-11-30,31.886214526586
2015-12-07,30.465932208387
2015-12-14,52.985746834102
2015-12-21,47.630860828579
2015-12-28,42.407898742986
2016-01-04,55.168816578731
2016-01-11,90.887536552596
2016-01-18,135.26590154723
2016-01-25,259.50421568132
2016-02-01,414.49574957285
2016-02-08,452.30621675822
2016-02-15,587.65215080687
2016-02-22,672.19635533903
2016-02-29,774.67668008005
2016-03-07,699.54606258635
2016-03-14,556.23527279318
2016-03-21,391.03998553378
2016-03-28,174.9089515047
2016-04-04,83.940905602456
2016-04-11,23.860394997994
2016-04-18,27.840537964857
2016-04-25,12.428114655007
2016-05-02,2.3434570678665
2016-05-09,10.535680839108
2016-05-16,6.8052672768723
2016-05-23,3.3250576343323
2016-05-30,4.3283953556318
2016-06-06,7.5402596003662
2016-06-13,2.2938673456514
2016-06-20,3.2734295721628
2016-06-27,9.9986668444207
2016-07-04,3.5337770186701
2016-07-11,7.9662232135744
2016-07-18,2.7419045268844
2016-07-25,2.4765961662291
2016-08-01,2.5733070856011
2016-08-08,8.3246618106139
2016-08-15,2.7338090161021
2016-08-22,1.2314815955076
2016-08-29,3.3495226930162
2016-09-05,6.0110603510459
2016-09-12,8.2661218898716
2016-09-19,4.7175374454535
2016-09-26,5.3358376197896
2016-10-03,20.3958841105865
2016-10-10,22.4865883562304
2016-10-17,40.5115403144571
2016-10-24,29.7078725862354
2016-10-31,20.9351871236284
2016-11-07,37.9498169479418
2016-11-14,35.9246236079208
2016-11-21,50.6145263690679
2016-11-28,35.5035764632172
2016-12-05,50.3080082135524
2016-12-12,51.0475611213085
2016-12-19,44.5256842894638
2016-12-26,85.0079433651997
2017-01-02,120.934754514305
2017-01-09,238.955144082314
2017-01-16,365.689209882751
2017-01-23,673.692449612836
2017-01-30,787.418538266817
2017-02-06,688.220916770293
2017-02-13,396.099939061548
2017-02-20,266.802466538985
2017-02-27,126.273255324522
2017-03-06,80.481046713499
2017-03-13,32.6374561434183
2017-03-20,10.2081324788748
2017-03-27,13.477694415742
2017-04-03,10.1658301035644
2017-04-10,4.84120836560805
2017-04-17,7.88297165508621
2017-04-24,5.9506807578787
2017-05-01,11.5251189968536
2017-05-08,8.84359005538298
2017-05-15,4.58762945716874
2017-05-22,1.24979690800245
2017-05-29,3.61694175518127
2017-06-05,2.54491779915509
2017-06-12,0
2017-06-19,0
2017-06-26,0
2017-07-03,1.24486493215486
2017-07-10,6.90464682731478
2017-07-17,4.40095647454047
2017-07-24,5.38829393143396
2017-07-31,0
2017-08-07,4.31238949501919
2017-08-14,1.47896176883828
2017-08-21,5.15370938232793
2017-08-28,0
2017-09-04,2.62057941010757
2017-09-11,9.0070383571162
2017-09-18,14.4677670207251
2017-09-25,14.1354410846595
2017-10-02,10.550546710148
2017-10-09,20.736787060245
2017-10-16,11.529217698236
2017-10-23,20.716216088967
2017-10-30,9.0641743544294
2017-11-06,13.714285714286
2017-11-13,19.046582498912
2017-11-20,24.004071090457
2017-11-27,29.751172015867
2017-12-04,36.749417328317
2017-12-11,44.098781270045
2017-12-18,53.280326239536
2017-12-25,61.064040912907
2018-01-08,95.672881937584
2018-01-15,178.48084618709
2018-01-22,247.35276951725
2018-01-29,321.69250833213
2018-02-05,415.39305588212
2018-02-12,571.95196417667
2018-02-19,555.9175266399
2018-02-26,613.92586916962
2018-03-05,622.32973721688
2018-03-12,727.15935149053
2018-03-19,544.52012889016
2018-03-26,337.28135540042
2018-04-02,200.2474261391
2018-04-09,69.501708092826
2018-04-16,27.574644562832
2018-04-23,9.1130012150668
2018-04-30,6.8450954890821
2018-05-07,4.0093417663155
2018-05-14,5.2608874064877
2018-05-21,4.9725515156337
2018-05-28,3.200546226556
2018-06-04,2.114902661605
2018-06-11,2.1529915818029
2018-06-18,3.1763173776324
2018-06-25,4.5089728559834
2018-07-02,6.6671111407427
2018-07-09,3.6413953827107
2018-07-16,1.257244873584
2018-07-23,0
2018-07-30,2.0412329046744
2018-08-06,0
2018-08-13,0
2018-08-20,0
2018-08-27,1.3384193267751
2018-09-03,1.3061650992685
2018-09-10,0
2018-09-17,0
2018-09-24,6.2387702136155
2018-10-01,0
2018-10-08,10.7727277623967
2018-10-15,15.2992088123443
2018-10-22,15.6261394059983
2018-10-29,30.2745589309949
2018-11-05,19.1577762611205
2018-11-12,41.2971657103112
2018-11-19,23.1661857928101
2018-11-26,23.1404626080307
2018-12-03,43.2669906143913
2018-12-10,48.3112082003025
2018-12-17,40.6919836792152
2018-12-24,36.1615698942877
2018-12-31,20.2514292835667
2019-01-07,49.8363482079118
2019-01-14,63.0180295650688
2019-01-21,95.4805856142584
2019-01-28,206.329862326098
2019-02-04,364.160975439495
2019-02-11,666.187341317096
2019-02-18,737.468063504814
2019-02-25,656.677665386488
2019-03-04,402.497491359126
2019-03-11,292.111817144985
2019-03-18,165.737194562028
2019-03-25,77.7113992908835
2019-04-01,54.5865387056643
2019-04-08,38.5249750189615
2019-04-15,16.008537886873
2019-04-22,11.9226814110493
2019-04-29,5.58759107773457
2019-05-06,5.63044041304911
2019-05-13,6.53836933068893
2019-05-20,3.64471334329555
2019-05-27,2.70314104989998
2019-06-03,8.48289484845914
2019-06-10,4.84701605574068
2019-06-17,2.66496109156806
2019-06-24,2.42253930570023
2019-07-01,4.84654622999285
2019-07-08,0
