"firstday","weighted_ILIpercent"
1997-10-05,0.374963
1997-10-12,0.315666
1997-10-19,0.310564
1997-10-26,0.325144
1997-11-02,3.75806
1997-11-09,4.45375
1997-11-16,3.62935
1997-11-23,7.56716
1997-11-30,0.40265
1997-12-07,1.71911
1997-12-14,1.81569
1997-12-21,3.60656
1997-12-28,3.51987
1998-01-04,2.03693
1998-01-11,1.92308
1998-01-18,7.3615
1998-01-25,7.05708
1998-02-01,8.10663
1998-02-08,3.65924
1998-02-15,0.353382
1998-02-22,0.716497
1998-03-01,1.83647
1998-03-08,2.56172
1998-03-15,3.45004
1998-03-22,7.03319
1998-03-29,3.0554
1998-04-05,5.39271
1998-04-12,0.834407
1998-04-19,0.786997
1998-04-26,2.50322
1998-05-03,3.46279
1998-05-10,0.629598
1998-05-17,0.672386
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,10.8491
1998-10-11,8.58896
1998-10-18,6.48464
1998-10-25,0
1998-11-01,10.9589
1998-11-08,6.25
1998-11-15,5.83942
1998-11-22,5.17241
1998-11-29,6.52174
1998-12-06,2.20443
1998-12-13,3.71013
1998-12-20,0
1998-12-27,2.56503
1999-01-03,3.392
1999-01-10,5.23445
1999-01-17,6.62703
1999-01-24,7.70746
1999-01-31,6.55723
1999-02-07,6.79883
1999-02-14,4.9696
1999-02-21,6.53512
1999-02-28,4.86507
1999-03-07,4.49574
1999-03-14,3.54331
1999-03-21,4.8583
1999-03-28,2.6087
1999-04-04,0
1999-04-11,2.89256
1999-04-18,0
1999-04-25,0
1999-05-02,11.9266
1999-05-09,4.36681
1999-05-16,11.8182
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,0
1999-10-10,5.04451
1999-10-17,5.74713
1999-10-24,4.80349
1999-10-31,2.68065
1999-11-07,4.36047
1999-11-14,1.89349
1999-11-21,1.99601
1999-11-28,1.32576
1999-12-05,2.69654
1999-12-12,2.46286
1999-12-19,2.43405
1999-12-26,2.91369
2000-01-02,4.93935
2000-01-09,2.01903
2000-01-16,2.78099
2000-01-23,1.27319
2000-01-30,1.57863
2000-02-06,1.83077
2000-02-13,1.16384
2000-02-20,0.858787
2000-02-27,1.87497
2000-03-05,1.24693
2000-03-12,2.11097
2000-03-19,0.754074
2000-03-26,1.9702
2000-04-02,1.41154
2000-04-09,0.793105
2000-04-16,0.463067
2000-04-23,0.927979
2000-04-30,0.482175
2000-05-07,0.910596
2000-05-14,0
2000-05-21,0
2000-05-28,0
2000-06-04,0
2000-06-11,0
2000-06-18,0
2000-06-25,0
2000-07-02,0
2000-07-09,0
2000-07-16,0
2000-07-23,0
2000-07-30,0
2000-08-06,0
2000-08-13,0
2000-08-20,0
2000-08-27,0
2000-09-03,0
2000-09-10,0
2000-09-17,0
2000-09-24,0
2000-10-01,2.71967
2000-10-08,2.35849
2000-10-15,3.15315
2000-10-22,3.18258
2000-10-29,1.39738
2000-11-05,1.61061
2000-11-12,1.44711
2000-11-19,2.17634
2000-11-26,1.79961
2000-12-03,2.34939
2000-12-10,1.58033
2000-12-17,0.967209
2000-12-24,1.79574
2001-01-07,2.18405
2001-01-14,1.71468
2001-01-21,3.09373
2001-01-28,3.49676
2001-02-04,4.1771
2001-02-11,2.93806
2001-02-18,2.0558
2001-02-25,3.02509
2001-03-04,0.927075
2001-03-11,1.00175
2001-03-18,0.69924
2001-03-25,0.66216
2001-04-01,0.586826
2001-04-08,0.459263
2001-04-15,0.33765
2001-04-22,0.467838
2001-04-29,0.522549
2001-05-06,0.355013
2001-05-13,0.640335
2001-05-20,0.560799
2001-05-27,0
2001-06-03,0
2001-06-10,0
2001-06-17,0
2001-06-24,0
2001-07-01,0
2001-07-08,0
2001-07-15,0
2001-07-22,0
2001-07-29,0
2001-08-05,0
2001-08-12,0
2001-08-19,0
2001-08-26,0
2001-09-02,0
2001-09-09,0
2001-09-16,0
2001-09-23,0
2001-09-30,0
2001-10-07,0.744221
2001-10-14,0.941888
2001-10-21,0.910421
2001-10-28,1.04934
2001-11-04,1.17835
2001-11-11,1.19253
2001-11-18,0.999178
2001-11-25,0.936613
2001-12-02,1.06864
2001-12-09,1.14551
2001-12-16,1.14879
2001-12-23,1.1182
2001-12-30,1.739
2002-01-06,1.83995
2002-01-13,1.95641
2002-01-20,2.87409
2002-01-27,5.13816
2002-02-03,5.21438
2002-02-10,2.43139
2002-02-17,2.1578
2002-02-24,1.86836
2002-03-03,1.41772
2002-03-10,1.30241
2002-03-17,1.84535
2002-03-24,1.36993
2002-03-31,0.925246
2002-04-07,0.833338
2002-04-14,0.524113
2002-04-21,0.493099
2002-04-28,0.358458
2002-05-05,0.313711
2002-05-12,0.350672
2002-05-19,0.281077
2002-05-26,0
2002-06-02,0
2002-06-09,0
2002-06-16,0
2002-06-23,0
2002-06-30,0
2002-07-07,0
2002-07-14,0
2002-07-21,0
2002-07-28,0
2002-08-04,0
2002-08-11,0
2002-08-18,0
2002-08-25,0
2002-09-01,0
2002-09-08,0
2002-09-15,0
2002-09-22,0
2002-09-29,0
2002-10-06,1.47411
2002-10-13,1.94806
2002-10-20,1.86141
2002-10-27,2.19488
2002-11-03,1.79574
2002-11-10,2.68916
2002-11-17,2.36841
2002-11-24,2.13
2002-12-01,2.51125
