"firstday","weighted_ILIpercent"
2002-09-15,0
2002-09-22,0
2002-09-29,0
2002-10-06,0.428283
2002-10-13,0.665571
2002-10-20,1.1791
2002-10-27,0.992243
2002-11-03,1.34323
2002-11-10,1.71576
2002-11-17,1.38439
2002-11-24,1.329
2002-12-01,1.42332
2002-12-08,1.79258
2002-12-15,2.88248
2002-12-22,6.04979
2002-12-29,4.12241
2003-01-05,3.78321
2003-01-12,1.93178
2003-01-19,2.71071
2003-01-26,3.78946
2003-02-02,3.73257
2003-02-09,3.04652
2003-02-16,2.78386
2003-02-23,1.83982
2003-03-02,1.06872
2003-03-09,1.84167
2003-03-16,1.55837
2003-03-23,1.23446
2003-03-30,0.81984
2003-04-06,0.859968
2003-04-13,1.11282
2003-04-20,1.04208
2003-04-27,0.83456
2003-05-04,0.625752
2003-05-11,0.478399
2003-05-18,0.398766
2003-05-25,1.14352
2003-06-01,1.15287
2003-06-08,0.824802
2003-06-15,0.701011
2003-06-22,0.570228
2003-06-29,1.23987
2003-07-06,0.429093
2003-07-13,0.637283
2003-07-20,0.885281
2003-07-27,0.690106
2003-08-03,0.231272
2003-08-10,0.966665
2003-08-17,1.14384
2003-08-24,1.16402
2003-08-31,0.852459
2003-09-07,1.15013
2003-09-14,0.956938
2003-09-21,0.842105
2003-09-28,1.34844
2003-10-05,1.34451
2003-10-12,1.76666
2003-10-19,2.12372
2003-10-26,3.28583
2003-11-02,6.14127
2003-11-09,9.32217
2003-11-16,9.29094
2003-11-23,10.4211
2003-11-30,8.57337
2003-12-07,8.65077
2003-12-14,8.84931
2003-12-21,8.46451
2003-12-28,8.65342
2004-01-04,3.67382
2004-01-11,3.28452
2004-01-18,2.46697
2004-01-25,2.68056
2004-02-01,1.92052
2004-02-08,1.74718
2004-02-15,1.7142
2004-02-22,1.13431
2004-02-29,1.16216
2004-03-07,0.996326
2004-03-14,1.06778
2004-03-21,0.653765
2004-03-28,0.517855
2004-04-04,0.562031
2004-04-11,0.500527
2004-04-18,0.453672
2004-04-25,0.530175
2004-05-02,0.612581
2004-05-09,0.34441
2004-05-16,0.509801
2004-05-23,0.339279
2004-05-30,0.464519
2004-06-06,0.716928
2004-06-13,0.581773
2004-06-20,0.380973
2004-06-27,0.325283
2004-07-04,1.56483
2004-07-11,0.833333
2004-07-18,1.3324
2004-07-25,1.2037
2004-08-01,0.657895
2004-08-08,0.569569
2004-08-15,1.55678
2004-08-22,1.16279
2004-08-29,1.10236
2004-09-05,1.02471
2004-09-12,1.11977
2004-09-19,1.30536
2004-09-26,0.96559
2004-10-03,1.20625
2004-10-10,0.920725
2004-10-17,2.18945
2004-10-24,1.11719
2004-10-31,1.26379
2004-11-07,1.44294
2004-11-14,1.51
