"firstday","weighted_ILIpercent"
1997-10-05,0.498535
1997-10-12,0.642669
1997-10-19,2.89908
1997-10-26,4.8125
1997-11-02,1.37136
1997-11-09,0.928766
1997-11-16,0.633391
1997-11-23,0.812671
1997-11-30,1.22797
1997-12-07,1.71588
1997-12-14,1.23053
1997-12-21,1.22154
1997-12-28,1.07721
1998-01-04,3.26437
1998-01-11,2.15486
1998-01-18,4.19507
1998-01-25,4.28226
1998-02-01,5.03228
1998-02-08,3.60087
1998-02-15,3.25056
1998-02-22,1.35401
1998-03-01,0.664226
1998-03-08,0.456624
1998-03-15,0.230781
1998-03-22,0.179348
1998-03-29,0.170639
1998-04-05,0.128423
1998-04-12,0.0579647
1998-04-19,0.0797064
1998-04-26,0.0895798
1998-05-03,0.165814
1998-05-10,0.0603559
1998-05-17,0.0278373
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,0.748673
1998-10-11,0.587936
1998-10-18,0.753741
1998-10-25,0.324336
1998-11-01,0.619453
1998-11-08,0.916337
1998-11-15,1.17767
1998-11-22,0.694763
1998-11-29,0.846168
1998-12-06,1.06011
1998-12-13,1.01483
1998-12-20,1.85008
1998-12-27,4.46997
1999-01-03,2.91366
1999-01-10,3.94194
1999-01-17,4.51863
1999-01-24,2.64874
1999-01-31,8.09709
1999-02-07,7.47745
1999-02-14,5.70027
1999-02-21,4.62137
1999-02-28,4.97303
1999-03-07,2.22952
1999-03-14,1.19135
1999-03-21,2.47333
1999-03-28,0.581825
1999-04-04,0.639296
1999-04-11,0.187407
1999-04-18,0.191336
1999-04-25,0.48609
1999-05-02,0.166116
1999-05-09,0.246545
1999-05-16,0.00553707
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,0.382634
1999-10-10,0.532116
1999-10-17,0.278641
1999-10-24,0.36982
1999-10-31,0.737207
1999-11-07,0.59996
1999-11-14,0.576885
1999-11-21,0.907759
1999-11-28,1.12211
1999-12-05,1.34723
1999-12-12,1.77924
1999-12-19,2.79094
1999-12-26,3.79478
2000-01-02,4.79133
2000-01-09,4.88309
2000-01-16,2.52261
2000-01-23,1.96257
2000-01-30,1.45369
2000-02-06,1.01556
2000-02-13,0.924787
2000-02-20,0.747603
2000-02-27,0.47384
2000-03-05,0.22669
2000-03-12,0.433628
2000-03-19,0.367004
2000-03-26,0.205171
2000-04-02,0.247498
2000-04-09,0.186234
2000-04-16,0.194054
