"firstday","weighted_ILIpercent"
1997-10-05,0.516017
1997-10-12,0.50308
1997-10-19,0.176081
1997-10-26,0.796463
1997-11-02,0.186496
1997-11-09,0.111352
1997-11-16,1.56709
1997-11-23,3.216
1997-11-30,0.773458
1997-12-07,7.4479
1997-12-14,1.40537
1997-12-21,1.32044
1997-12-28,3.28615
1998-01-04,1.6744
1998-01-11,4.83527
1998-01-18,9.37904
1998-01-25,8.29849
1998-02-01,5.78398
1998-02-08,4.08614
1998-02-15,2.19656
1998-02-22,2.07961
1998-03-01,1.84056
1998-03-08,1.008
1998-03-15,1.07433
1998-03-22,0
1998-03-29,0.922618
1998-04-05,0.991915
1998-04-12,0.496365
1998-04-19,0.778692
1998-04-26,0.345387
1998-05-03,0.156882
1998-05-10,0
1998-05-17,0
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,0.785356
1998-10-11,0.906389
1998-10-18,1.63675
1998-10-25,1.20281
1998-11-01,0.978451
1998-11-08,0.897025
1998-11-15,1.29437
1998-11-22,0.795981
1998-11-29,0.948284
1998-12-06,0.557707
1998-12-13,0.533814
1998-12-20,0.998971
1998-12-27,0.836207
1999-01-03,1.29019
1999-01-10,1.60158
1999-01-17,3.79096
1999-01-24,4.11295
1999-01-31,3.85903
1999-02-07,3.75497
1999-02-14,2.92309
1999-02-21,2.20452
1999-02-28,1.98463
1999-03-07,1.64828
1999-03-14,0.859134
1999-03-21,0.785014
1999-03-28,0.721729
1999-04-04,0.363119
1999-04-11,0.601591
1999-04-18,0.216913
1999-04-25,0.48219
1999-05-02,0.499346
1999-05-09,0.349803
1999-05-16,0.345621
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,0.546076
1999-10-10,0.697664
1999-10-17,0.29212
1999-10-24,0.443787
1999-10-31,0.57251
1999-11-07,0.444117
1999-11-14,0.830857
1999-11-21,1.08062
1999-11-28,1.27945
1999-12-05,2.53456
1999-12-12,2.95788
1999-12-19,4.96437
1999-12-26,5.28774
2000-01-02,4.16936
2000-01-09,2.81141
2000-01-16,1.76958
2000-01-23,1.04967
2000-01-30,1.16143
2000-02-06,1.05777
2000-02-13,0.821093
2000-02-20,0.558954
2000-02-27,0.663224
2000-03-05,0.321697
2000-03-12,0.188572
2000-03-19,0.228259
2000-03-26,0.243793
2000-04-02,0.257692
2000-04-09,0.149439
2000-04-16,0.0684374
2000-04-23,0.102158
2000-04-30,0
2000-05-07,0.0818814
2000-05-14,0
2000-05-21,0
2000-05-28,0
2000-06-04,0
2000-06-11,0
2000-06-18,0
2000-06-25,0
2000-07-02,0
2000-07-09,0
2000-07-16,0
2000-07-23,0
2000-07-30,0
2000-08-06,0
2000-08-13,0
2000-08-20,0
2000-08-27,0
2000-09-03,0
2000-09-10,0
2000-09-17,0
2000-09-24,0
2000-10-01,0.055756
2000-10-08,0.36209
2000-10-15,0.436769
2000-10-22,0.314794
2000-10-29,0.420191
2000-11-05,0.553201
2000-11-12,0.818343
2000-11-19,1.06073
2000-11-26,0.917926
2000-12-03,0.922569
2000-12-10,0.937087
2000-12-17,1.65105
2000-12-24,2.5365
2001-01-07,2.398
2001-01-14,2.61018
2001-01-21,3.34326
2001-01-28,3.57654
2001-02-04,3.48755
2001-02-11,2.63203
2001-02-18,2.25164
2001-02-25,1.83486
2001-03-04,2.22036
2001-03-11,1.18333
2001-03-18,2.04894
2001-03-25,0.60082
2001-04-01,0.289248
2001-04-08,0.397519
2001-04-15,0.211251
2001-04-22,0.368528
2001-04-29,0.19942
2001-05-06,0.311674
2001-05-13,0.194821
2001-05-20,0
2001-05-27,0
2001-06-03,0
2001-06-10,0
2001-06-17,0
2001-06-24,0
2001-07-01,0
2001-07-08,0
2001-07-15,0
2001-07-22,0
2001-07-29,0
2001-08-05,0
2001-08-12,0
2001-08-19,0
2001-08-26,0
2001-09-02,0
2001-09-09,0
2001-09-16,0
2001-09-23,0
2001-09-30,0
2001-10-07,0.2691
2001-10-14,0.564872
2001-10-21,0.6755
2001-10-28,0.559576
2001-11-04,0.379298
2001-11-11,0.488648
2001-11-18,0.476778
2001-11-25,0.66663
2001-12-02,0.812
2001-12-09,1.09065
2001-12-16,1.08058
2001-12-23,1.59196
2001-12-30,1.8491
2002-01-06,1.59438
2002-01-13,1.87297
2002-01-20,2.42528
2002-01-27,2.723
2002-02-03,3.64279
2002-02-10,3.83065
2002-02-17,2.36588
2002-02-24,1.81294
2002-03-03,1.55448
2002-03-10,1.29306
2002-03-17,1.05459
2002-03-24,0.438089
2002-03-31,0.381959
2002-04-07,0.471863
2002-04-14,0.354269
2002-04-21,0.331637
2002-04-28,0.259067
2002-05-05,0.470451
2002-05-12,0.450777
2002-05-19,0.49426
2002-05-26,0
2002-06-02,0
2002-06-09,0
2002-06-16,0
2002-06-23,0
2002-06-30,0
2002-07-07,0
2002-07-14,0
2002-07-21,0
2002-07-28,0
2002-08-04,0
2002-08-11,0
2002-08-18,0
2002-08-25,0
2002-09-01,0
2002-09-08,0
2002-09-15,0
2002-09-22,0
2002-09-29,0
2002-10-06,0.555
2002-10-13,0.505408
2002-10-20,0.492651
2002-10-27,0.574425
2002-11-03,0.705004
2002-11-10,0.65443
2002-11-17,0.684114
2002-11-24,0.763239
2002-12-01,0.832561
2002-12-08,0.632439
2002-12-15,0.774699
2002-12-22,1.15111
2002-12-29,1.06512
2003-01-05,0.853741
2003-01-12,0.952076
2003-01-19,1.0298
2003-01-26,1.18968
2003-02-02,1.79776
2003-02-09,1.91071
2003-02-16,2.15763
2003-02-23,2.27359
2003-03-02,2.08572
2003-03-09,1.87055
2003-03-16,1.53212
2003-03-23,1.38279
2003-03-30,1.28019
2003-04-06,1.13187
2003-04-13,1.06472
2003-04-20,0.673068
2003-04-27,0.586445
2003-05-04,0.702696
2003-05-11,0.117173
2003-05-18,0.0819138
2003-05-25,0.0236152
2003-06-01,0.03584
2003-06-08,0.12085
2003-06-15,0
2003-06-22,0.0153511
2003-06-29,0
2003-07-06,0.0717486
2003-07-13,0
2003-07-20,0
2003-07-27,0.0168501
2003-08-03,0.0489036
2003-08-10,0
2003-08-17,0.0145057
2003-08-24,0
2003-08-31,0.0266195
2003-09-07,0.0163012
2003-09-14,0.0349352
2003-09-21,0.0123873
2003-09-28,0.0165164
2003-10-05,0.529924
2003-10-12,0.814403
2003-10-19,1.13659
2003-10-26,0.670376
2003-11-02,1.20225
2003-11-09,1.18921
2003-11-16,3.32913
2003-11-23,5.56098
2003-11-30,6.75308
2003-12-07,6.20963
2003-12-14,5.25473
2003-12-21,4.04562
2003-12-28,3.91721
2004-01-04,2.82541
2004-01-11,1.54718
2004-01-18,1.69077
2004-01-25,1.28665
2004-02-01,1.23486
2004-02-08,1.18468
2004-02-15,1.06933
2004-02-22,0.621298
2004-02-29,0.948114
2004-03-07,0.80809
2004-03-14,0.836658
2004-03-21,0.815388
2004-03-28,0.426135
2004-04-04,0.452239
