"firstday","weighted_ILIpercent"
1997-10-05,1.80761
1997-10-12,1.39478
1997-10-19,2.07269
1997-10-26,1.31691
1997-11-02,2.24784
1997-11-09,0.224589
1997-11-16,2.60273
1997-11-23,2.31456
1997-11-30,2.36077
1997-12-07,2.28604
1997-12-14,3.47037
1997-12-21,2.95297
1997-12-28,7.90666
1998-01-04,8.99298
1998-01-11,5.63842
1998-01-18,6.67666
1998-01-25,4.79764
1998-02-01,4.33191
1998-02-08,3.68601
1998-02-15,4.77553
1998-02-22,3.35501
1998-03-01,1.52452
1998-03-08,2.13712
1998-03-15,0.720646
1998-03-22,1.50724
1998-03-29,0.741921
1998-04-05,1.33856
1998-04-12,0.986764
1998-04-19,0.754942
1998-04-26,1.55385
1998-05-03,0.859656
1998-05-10,0.517266
1998-05-17,1.52958
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,2.31682
1998-10-11,0.991728
1998-10-18,1.97878
1998-10-25,2.58133
1998-11-01,2.0884
1998-11-08,2.66511
1998-11-15,2.41188
1998-11-22,2.21174
1998-11-29,1.89583
1998-12-06,3.01199
1998-12-13,2.62474
1998-12-20,2.7343
1998-12-27,6.66271
1999-01-03,5.8341
1999-01-10,6.36002
1999-01-17,11.1015
1999-01-24,7.22309
1999-01-31,8.57585
1999-02-07,7.66794
1999-02-14,6.47907
1999-02-21,5.76783
1999-02-28,5.424
1999-03-07,6.08602
1999-03-14,4.60724
1999-03-21,3.82336
1999-03-28,3.81628
1999-04-04,2.97692
1999-04-11,2.31207
1999-04-18,1.87753
1999-04-25,1.63516
1999-05-02,2.54865
1999-05-09,1.0291
1999-05-16,1.20586
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,1.6368
1999-10-10,2.20878
1999-10-17,1.37409
1999-10-24,1.93361
1999-10-31,2.61648
1999-11-07,2.06747
1999-11-14,2.45817
1999-11-21,3.65555
1999-11-28,6.51339
1999-12-05,5.11509
1999-12-12,7.07679
1999-12-19,10.7688
1999-12-26,13.1049
2000-01-02,10.1187
