"firstday","weighted_ILIpercent"
1997-10-05,4.74352
1997-10-12,3.98637
1997-10-19,2.24082
1997-10-26,0.609287
1997-11-02,1.21454
1997-11-09,4.14224
1997-11-16,3.04974
1997-11-23,1.35945
1997-11-30,1.17213
1997-12-07,1.03086
1997-12-14,1.17532
1997-12-21,2.54745
1997-12-28,2.54746
1998-01-04,3.34526
1998-01-11,3.86847
1998-01-18,7.90212
1998-01-25,5.2888
1998-02-01,5.05283
1998-02-08,4.89052
1998-02-15,4.17196
1998-02-22,2.53366
1998-03-01,2.89543
1998-03-08,2.64696
1998-03-15,2.18053
1998-03-22,1.65979
1998-03-29,1.62918
1998-04-05,1.86898
1998-04-12,2.05778
1998-04-19,1.06224
1998-04-26,1.63201
1998-05-03,0.933428
1998-05-10,1.24599
1998-05-17,1.29269
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,0.379088
1998-10-11,0.961084
1998-10-18,1.40849
1998-10-25,2.06572
1998-11-01,0.684926
1998-11-08,0.8624
1998-11-15,0.895004
1998-11-22,0.992661
1998-11-29,1.41513
1998-12-06,0.935611
1998-12-13,1.00607
1998-12-20,1.92776
1998-12-27,1.81269
1999-01-03,3.86208
1999-01-10,2.7489
1999-01-17,3.761
1999-01-24,5.56814
1999-01-31,4.34813
1999-02-07,7.80979
1999-02-14,3.94865
1999-02-21,5.8795
1999-02-28,4.39487
1999-03-07,2.49943
1999-03-14,2.54762
1999-03-21,2.06304
1999-03-28,1.6769
1999-04-04,1.83652
1999-04-11,1.52092
1999-04-18,1.10992
1999-04-25,1.19181
1999-05-02,0.264421
1999-05-09,0.577764
1999-05-16,0.605411
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,1.85368
1999-10-10,1.3027
1999-10-17,0.803695
1999-10-24,0.820448
1999-10-31,0.782197
1999-11-07,1.68156
1999-11-14,1.47093
1999-11-21,1.93718
1999-11-28,2.05484
1999-12-05,3.19634
1999-12-12,3.01255
1999-12-19,6.43199
1999-12-26,11.5701
2000-01-02,4.56665
2000-01-09,6.60066
2000-01-16,2.78186
2000-01-23,2.71533
2000-01-30,2.11017
2000-02-06,2.2056
2000-02-13,0.483582
2000-02-20,0.92015
2000-02-27,0.339006
2000-03-05,0.934838
2000-03-12,0
2000-03-19,0.246874
2000-03-26,0
2000-04-02,0.204499
2000-04-09,0.156495
2000-04-16,0.21097
2000-04-23,0
2000-04-30,0
2000-05-07,0.231481
2000-05-14,0
2000-05-21,0
2000-05-28,0
2000-06-04,0
2000-06-11,0
2000-06-18,0
2000-06-25,0
2000-07-02,0
2000-07-09,0
2000-07-16,0
2000-07-23,0
2000-07-30,0
2000-08-06,0
2000-08-13,0
2000-08-20,0
2000-08-27,0
2000-09-03,0
2000-09-10,0
2000-09-17,0
2000-09-24,0
2000-10-01,0.404626
2000-10-08,2.74609
2000-10-15,1.50714
2000-10-22,4.27338
2000-10-29,3.04392
2000-11-05,2.47539
2000-11-12,1.94189
2000-11-19,1.7912
2000-11-26,3.32965
2000-12-03,1.74764
2000-12-10,3.56193
2000-12-17,4.07302
2000-12-24,5.62125
2001-01-07,6.22052
2001-01-14,5.33
2001-01-21,6.73698
2001-01-28,7.0501
