"firstday","weighted_ILIpercent"
1997-10-05,0.871791
1997-10-12,0.449154
1997-10-19,0.346781
1997-10-26,0.647388
1997-11-02,0.492672
1997-11-09,0.616256
1997-11-16,0.720112
1997-11-23,0.766084
1997-11-30,0.667747
1997-12-07,0.69962
1997-12-14,1.60936
1997-12-21,1.66342
1997-12-28,0.953705
1998-01-04,1.56189
1998-01-11,2.92685
1998-01-18,6.96129
1998-01-25,8.2188
1998-02-01,8.12636
1998-02-08,4.46488
1998-02-15,2.60365
1998-02-22,2.10151
1998-03-01,1.26723
1998-03-08,0.550836
1998-03-15,1.02869
1998-03-22,0.100841
1998-03-29,0.260315
1998-04-05,0.343053
1998-04-12,0.75535
1998-04-19,0.20365
1998-04-26,0.258614
1998-05-03,0.23264
1998-05-10,0.383958
1998-05-17,0.365207
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,0.710323
1998-10-11,0.770374
1998-10-18,1.08265
1998-10-25,1.74864
1998-11-01,1.134
1998-11-08,0.966882
1998-11-15,1.17124
1998-11-22,1.23395
1998-11-29,1.1722
1998-12-06,1.56056
1998-12-13,2.07866
1998-12-20,2.18661
1998-12-27,1.45104
1999-01-03,1.49252
1999-01-10,1.1858
1999-01-17,2.67427
1999-01-24,3.18203
1999-01-31,5.95718
1999-02-07,5.461
1999-02-14,5.34784
1999-02-21,4.43481
1999-02-28,3.6985
1999-03-07,2.75014
1999-03-14,3.36176
1999-03-21,2.02888
1999-03-28,1.55766
1999-04-04,0.795402
1999-04-11,0.782469
1999-04-18,0.482129
1999-04-25,0.533117
1999-05-02,0.475755
1999-05-09,0.460293
1999-05-16,0.425459
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,0.803489
1999-10-10,1.21639
1999-10-17,0.939405
1999-10-24,1.34191
1999-10-31,1.23555
1999-11-07,1.10843
1999-11-14,0.87319
1999-11-21,1.02965
1999-11-28,1.64563
1999-12-05,2.19023
1999-12-12,4.16146
1999-12-19,5.74012
1999-12-26,8.71136
2000-01-02,6.5241
2000-01-09,5.48635
2000-01-16,3.55603
2000-01-23,2.25731
2000-01-30,1.5393
2000-02-06,1.29004
2000-02-13,1.27716
2000-02-20,0.803683
2000-02-27,0.623408
2000-03-05,0.615374
2000-03-12,0.806538
2000-03-19,0.999527
2000-03-26,0.648561
2000-04-02,0.586839
2000-04-09,0.549915
2000-04-16,0.639892
2000-04-23,1.28095
2000-04-30,0.680936
2000-05-07,0.842976
2000-05-14,0.716501
2000-05-21,0
2000-05-28,0
2000-06-04,0
2000-06-11,0
2000-06-18,0
2000-06-25,0
2000-07-02,0
2000-07-09,0
2000-07-16,0
2000-07-23,0
2000-07-30,0
2000-08-06,0
2000-08-13,0
2000-08-20,0
2000-08-27,0
2000-09-03,0
2000-09-10,0
2000-09-17,0
2000-09-24,0
2000-10-01,1.63248
2000-10-08,1.7149
2000-10-15,1.13902
2000-10-22,1.42194
2000-10-29,0.605629
2000-11-05,1.37846
2000-11-12,1.42524
2000-11-19,2.10321
2000-11-26,0.748801
2000-12-03,1.42965
2000-12-10,1.78855
2000-12-17,1.28387
2000-12-24,2.09199
2001-01-07,1.41867
2001-01-14,2.3917
2001-01-21,3.72301
2001-01-28,3.95197
2001-02-04,3.56571
2001-02-11,3.06988
2001-02-18,1.97718
2001-02-25,2.1485
2001-03-04,1.63535
2001-03-11,1.47005
2001-03-18,0.855566
2001-03-25,0.994786
2001-04-01,0.8983
2001-04-08,0.96996
2001-04-15,0.697677
2001-04-22,0.601854
2001-04-29,0.834769
2001-05-06,0.742993
2001-05-13,0.668031
2001-05-20,1.05693
2001-05-27,0
2001-06-03,0
2001-06-10,0
2001-06-17,0
2001-06-24,0
2001-07-01,0
2001-07-08,0
2001-07-15,0
2001-07-22,0
2001-07-29,0
2001-08-05,0
2001-08-12,0
2001-08-19,0
2001-08-26,0
2001-09-02,0
2001-09-09,0
2001-09-16,0
2001-09-23,0
2001-09-30,0
2001-10-07,1.55596
2001-10-14,1.24632
2001-10-21,1.26255
2001-10-28,1.2573
2001-11-04,1.61203
2001-11-11,1.45184
2001-11-18,1.39457
2001-11-25,1.81453
2001-12-02,1.38213
2001-12-09,1.10261
2001-12-16,1.12021
2001-12-23,1.37918
2001-12-30,1.26169
2002-01-06,1.34629
2002-01-13,1.79073
2002-01-20,2.34168
2002-01-27,2.89774
2002-02-03,3.63893
2002-02-10,4.33048
2002-02-17,4.93481
2002-02-24,4.05045
2002-03-03,3.35367
2002-03-10,2.98812
2002-03-17,1.90214
2002-03-24,1.57776
2002-03-31,1.09437
2002-04-07,1.34786
2002-04-14,1.05361
2002-04-21,1.0526
2002-04-28,0.857573
2002-05-05,0.720639
2002-05-12,0.908111
2002-05-19,1.01989
2002-05-26,0
2002-06-02,0
2002-06-09,0
2002-06-16,0
2002-06-23,0
2002-06-30,0
2002-07-07,0
2002-07-14,0
2002-07-21,0
2002-07-28,0
2002-08-04,0
2002-08-11,0
2002-08-18,0
2002-08-25,0
2002-09-01,0
2002-09-08,0
2002-09-15,0
2002-09-22,0
2002-09-29,0
2002-10-06,0.881132
2002-10-13,0.741349
2002-10-20,0.920056
2002-10-27,0.890115
