"firstday","weighted_ILIpercent"
1997-10-05,1.35428
1997-10-12,1.47978
1997-10-19,2.63598
1997-10-26,1.98399
1997-11-02,0.750464
1997-11-09,0.122297
1997-11-16,1.97044
1997-11-23,1.97065
1997-11-30,1.98579
1997-12-07,1.77506
1997-12-14,2.12021
1997-12-21,2.1289
1997-12-28,3.40614
1998-01-04,5.05135
1998-01-11,6.04283
1998-01-18,5.42543
1998-01-25,5.19632
1998-02-01,4.75381
1998-02-08,6.13278
1998-02-15,3.4307
1998-02-22,2.24142
1998-03-01,2.26006
1998-03-08,2.39205
1998-03-15,2.14617
1998-03-22,1.96565
1998-03-29,1.9682
1998-04-05,1.86457
1998-04-12,1.34234
1998-04-19,2.07928
1998-04-26,0.833416
1998-05-03,0.818995
1998-05-10,0.937783
1998-05-17,1.07869
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,0.862748
1998-10-11,0.524811
1998-10-18,0.893251
1998-10-25,0.87858
1998-11-01,6.83435
1998-11-08,3.95314
1998-11-15,4.71765
1998-11-22,3.63369
1998-11-29,3.59156
1998-12-06,3.49269
1998-12-13,2.12033
1998-12-20,3.78833
1998-12-27,4.20168
1999-01-03,3.65403
1999-01-10,7.82511
1999-01-17,7.35301
1999-01-24,7.57438
1999-01-31,7.83695
1999-02-07,10.2626
1999-02-14,10.0268
1999-02-21,9.92365
1999-02-28,7.31126
1999-03-07,5.0612
1999-03-14,5.71915
1999-03-21,3.6475
1999-03-28,2.19312
1999-04-04,1.59907
1999-04-11,1.49856
1999-04-18,1.12996
1999-04-25,1.0394
1999-05-02,1.05733
1999-05-09,1.58498
1999-05-16,1.54507
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,1.07691
1999-10-10,1.11957
1999-10-17,1.50627
1999-10-24,1.66776
1999-10-31,1.00017
1999-11-07,0.978396
1999-11-14,0.824793
1999-11-21,0.940559
1999-11-28,1.20151
1999-12-05,2.16935
1999-12-12,1.9589
1999-12-19,3.24343
1999-12-26,4.10493
2000-01-02,8.56371
2000-01-09,6.76656
2000-01-16,6.67117
2000-01-23,8.85504
2000-01-30,5.60693
2000-02-06,3.73197
2000-02-13,4.23129
2000-02-20,3.72563
2000-02-27,4.30152
2000-03-05,4.04905
2000-03-12,2.51108
2000-03-19,3.07188
2000-03-26,2.57354
2000-04-02,3.85265
2000-04-09,2.57672
2000-04-16,2.32176
2000-04-23,1.71367
2000-04-30,2.30481
2000-05-07,1.53104
2000-05-14,1.12846
2000-05-21,0
2000-05-28,0
2000-06-04,0
2000-06-11,0
2000-06-18,0
2000-06-25,0
2000-07-02,0
2000-07-09,0
2000-07-16,0
2000-07-23,0
2000-07-30,0
2000-08-06,0
2000-08-13,0
2000-08-20,0
2000-08-27,0
2000-09-03,0
2000-09-10,0
2000-09-17,0
2000-09-24,0
2000-10-01,0.411277
2000-10-08,0.928161
2000-10-15,1.60291
2000-10-22,2.172
2000-10-29,1.5331
2000-11-05,1.29725
2000-11-12,1.91616
2000-11-19,6.17483
2000-11-26,1.80312
2000-12-03,2.58903
2000-12-10,1.97016
2000-12-17,2.69523
2000-12-24,4.28415
2001-01-07,2.91341
2001-01-14,2.84719
2001-01-21,4.04856
2001-01-28,4.29008
2001-02-04,6.01118
