"date","ILIper100k"
2015-10-05,136.79132953419
2015-10-12,213.47366330735
2015-10-19,217.80341225346
2015-10-26,277.16677543851
2015-11-02,238.77052964844
2015-11-09,239.76210012977
2015-11-16,585.29431371242
2015-11-23,271.78762130925
2015-11-30,229.48745558307
2015-12-07,326.83927198154
2015-12-14,365.54881018083
2015-12-21,312.00525157354
2015-12-28,240.6076522669
2016-01-04,601.12910127403
2016-01-11,746.05059466449
2016-01-18,651.6364492583
2016-01-25,827.4110758751
2016-02-01,956.40050217335
2016-02-08,772.6181190618
2016-02-15,687.26373532672
2016-02-22,527.85783188836
2016-02-29,479.2369703787
2016-03-07,372.10323729816
2016-03-14,427.2307830138
2016-03-21,443.65842874785
2016-03-28,397.42433746276
2016-04-04,334.5996643708
2016-04-11,265.92187966135
2016-04-18,249.81425985669
2016-04-25,129.36336259914
2016-05-02,255.83043639677
2016-05-09,225.45454545455
2016-05-16,125.24048077106
2016-05-23,155.81944626689
2016-05-30,147.48288538158
2016-06-06,153.27072872225
2016-06-13,116.33834067944
2016-06-20,NA
2016-06-27,118.42016456108
2016-07-04,NA
2016-07-11,121.57418966881
2016-07-18,106.95873531991
2016-07-25,84.466653416996
2016-08-01,72.457688523465
2016-08-08,84.297485827485
2016-08-15,91.702763757278
2016-08-22,76.908903006657
2016-08-29,84.531997051524
2016-09-05,101.20557724789
2016-09-12,131.2819999875
2016-09-19,105.97407358611
2016-09-26,183.02401599265
2016-10-03,265.142587791657
2016-10-10,267.235532471146
2016-10-17,303.992012409293
2016-10-24,250.905929643051
2016-10-31,370.63151156426
2016-11-07,403.02944573016
2016-11-14,362.973104511692
2016-11-21,290.974941870942
2016-11-28,331.609663053084
2016-12-05,356.798627629566
2016-12-12,423.012227909739
2016-12-19,442.579253538678
2016-12-26,831.743513219118
2017-01-02,1212.95788896851
2017-01-09,932.206935991557
2017-01-16,806.434167888864
2017-01-23,696.137277311999
2017-01-30,685.367499605148
2017-02-06,521.189737436609
2017-02-13,525.200913472805
2017-02-20,432.031621037795
2017-02-27,466.781796017879
2017-03-06,451.748388357101
2017-03-13,472.009681260878
2017-03-20,472.009681260878
2017-03-27,363.14747657153
2017-04-03,316.73641477338
2017-04-10,324.185866563496
2017-04-17,282.807677533016
2017-04-24,245.137623145606
2017-05-01,153.480003525892
2017-05-08,152.944303200798
2017-05-15,144.160691117032
2017-05-22,126.94238855705
2017-05-29,132.614379902666
2017-06-05,126.988003296804
2017-06-12,121.831597493393
2017-06-19,68.1532332513429
2017-06-26,102.002751159917
2017-07-03,130.680325715787
2017-07-10,97.2225556329068
2017-07-17,94.5014684074322
2017-07-24,56.3459642203127
2017-07-31,136.879494065668
2017-08-07,168.226953453568
2017-08-14,68.8052971984102
2017-08-21,92.3513006903488
2017-08-28,126.94246938761
2017-09-04,185.12065510933
2017-09-11,122.917235727943
2017-09-18,200.467552013619
2017-09-25,266.973289454555
2017-10-02,348.60923906384
2017-10-09,365.3778574711
2017-10-16,296.90755193623
2017-10-23,328.67404029027
2017-10-30,330.97178100036
2017-11-06,276.44905379028
2017-11-13,312.17042817971
2017-11-20,292.25204445376
2017-11-27,313.09631880245
2017-12-04,313.01265249939
2017-12-11,315.82480623309
2017-12-18,288.90059711978
2017-12-25,316.3908979821
2018-01-08,381.74167453462
2018-01-15,442.47998588641
2018-01-22,487.40974540173
2018-01-29,483.67317055314
2018-02-05,680.92197791117
2018-02-12,810.13434131889
2018-02-19,804.33671085112
2018-02-26,732.13165104616
2018-03-05,585.55098721366
2018-03-12,565.83272713879
2018-03-19,433.73348093821
2018-03-26,438.78637011382
2018-04-02,387.82256870775
2018-04-09,287.98692111799
2018-04-16,335.68329148236
2018-04-23,313.54143123007
2018-04-30,199.49555347785
2018-05-07,186.50738617072
2018-05-14,181.85772525138
2018-05-21,212.20132283975
2018-05-28,183.91555120252
2018-06-04,114.79612754396
2018-06-11,157.4957151901
2018-06-18,131.68066106891
2018-06-25,149.71809585298
2018-07-02,108.59960472442
2018-07-09,110.94695815633
2018-07-16,97.760921543916
2018-07-23,113.64097568895
2018-07-30,114.88820214506
2018-08-06,120.26458208058
2018-08-13,128.68939384912
2018-08-20,101.15606936416
2018-08-27,96.533231181766
2018-09-03,128.19504997793
2018-09-10,113.97018491205
2018-09-17,170.73700468169
2018-09-24,188.44112511453
2018-10-01,270.30263630609
2018-10-08,239.751837733335
2018-10-15,320.580097318958
2018-10-22,246.13169504964
2018-10-29,285.019149724122
2018-11-05,298.398295472614
2018-11-12,268.025447690858
2018-11-19,363.657263479092
2018-11-26,340.636076024644
2018-12-03,326.112391773006
2018-12-10,359.175195274466
2018-12-17,448.296780694449
2018-12-24,414.119167679997
2018-12-31,238.955391218673
2019-01-07,509.00842426023
2019-01-14,606.864015080873
2019-01-21,635.365568792338
2019-01-28,807.592787256408
2019-02-04,921.158810232791
2019-02-11,1241.75750557475
2019-02-18,958.253604095495
