"firstday","weighted_ILIpercent"
1997-10-05,0.400338
1997-10-12,1.42389
1997-10-19,0.966721
1997-10-26,0.574446
1997-11-02,1.22455
1997-11-09,1.05409
1997-11-16,1.1385
1997-11-23,1.25262
1997-11-30,1.05024
1997-12-07,1.22195
1997-12-14,2.51906
1997-12-21,3.03245
1997-12-28,4.80589
1998-01-04,3.31603
1998-01-11,3.88534
1998-01-18,2.94869
1998-01-25,4.38035
1998-02-01,3.73236
1998-02-08,2.85373
1998-02-15,2.36918
1998-02-22,2.10114
1998-03-01,1.70601
1998-03-08,1.36966
1998-03-15,1.24687
1998-03-22,1.72774
1998-03-29,0.732376
1998-04-05,0.86099
1998-04-12,0.962144
1998-04-19,0.793252
1998-04-26,1.28777
1998-05-03,1.05137
1998-05-10,0.37225
1998-05-17,0.527434
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,0.389969
1998-10-11,0.7669
1998-10-18,0.684019
1998-10-25,0.978253
1998-11-01,0.913245
1998-11-08,1.35008
1998-11-15,1.66482
1998-11-22,1.70088
1998-11-29,1.20431
1998-12-06,1.32357
1998-12-13,1.49268
1998-12-20,1.83787
1998-12-27,1.51294
1999-01-03,1.45149
1999-01-10,2.27799
1999-01-17,3.46389
1999-01-24,3.755
1999-01-31,4.27206
1999-02-07,3.78208
1999-02-14,3.3851
1999-02-21,3.65613
1999-02-28,3.23983
1999-03-07,3.42943
1999-03-14,2.33697
1999-03-21,1.72464
1999-03-28,1.29603
1999-04-04,0.788502
1999-04-11,0.362817
1999-04-18,0.379138
1999-04-25,0.248977
1999-05-02,0.20623
1999-05-09,0.256312
1999-05-16,0.167039
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,1.06895
1999-10-10,1.22459
1999-10-17,1.21083
1999-10-24,1.05683
1999-10-31,1.50473
1999-11-07,1.48836
1999-11-14,1.6541
1999-11-21,2.06077
1999-11-28,1.46053
1999-12-05,2.0648
1999-12-12,2.27118
1999-12-19,3.89662
1999-12-26,5.92116
2000-01-02,5.16737
2000-01-09,4.53327
2000-01-16,3.8734
2000-01-23,3.31962
2000-01-30,2.35599
2000-02-06,1.74714
2000-02-13,1.14445
2000-02-20,0.91577
2000-02-27,1.04423
2000-03-05,0.855417
2000-03-12,0.605439
2000-03-19,0.578987
2000-03-26,0.548841
2000-04-02,0.492247
2000-04-09,0.483112
2000-04-16,0.578421
2000-04-23,0.524378
2000-04-30,0.701991
2000-05-07,0.34515
2000-05-14,0.393233
2000-05-21,0
2000-05-28,0
2000-06-04,0
2000-06-11,0
2000-06-18,0
2000-06-25,0
2000-07-02,0
2000-07-09,0
2000-07-16,0
2000-07-23,0
2000-07-30,0
2000-08-06,0
2000-08-13,0
2000-08-20,0
2000-08-27,0
2000-09-03,0
2000-09-10,0
2000-09-17,0
2000-09-24,0
2000-10-01,0.887158
2000-10-08,0.760447
2000-10-15,1.12655
2000-10-22,1.25703
2000-10-29,1.1201
2000-11-05,1.36644
2000-11-12,1.6651
2000-11-19,2.15025
2000-11-26,1.60852
2000-12-03,1.46726
2000-12-10,1.94938
2000-12-17,2.24642
2000-12-24,2.5332
2001-01-07,2.53018
2001-01-14,2.54171
2001-01-21,3.34082
2001-01-28,4.08727
2001-02-04,3.92495
2001-02-11,3.73746
2001-02-18,2.64377
2001-02-25,2.18268
2001-03-04,1.53177
2001-03-11,1.82131
2001-03-18,1.9513
2001-03-25,2.55073
2001-04-01,2.39018
2001-04-08,0.633757
2001-04-15,0.560973
2001-04-22,0.500787
2001-04-29,0.462064
2001-05-06,0.407937
2001-05-13,0.506802
2001-05-20,0.476992
2001-05-27,0
2001-06-03,0
2001-06-10,0
2001-06-17,0
2001-06-24,0
2001-07-01,0
2001-07-08,0
2001-07-15,0
2001-07-22,0
2001-07-29,0
2001-08-05,0
2001-08-12,0
2001-08-19,0
2001-08-26,0
2001-09-02,0
2001-09-09,0
2001-09-16,0
2001-09-23,0
2001-09-30,0
2001-10-07,0.646735
2001-10-14,0.824939
2001-10-21,0.801895
2001-10-28,0.818655
2001-11-04,1.54364
2001-11-11,1.06889
2001-11-18,0.92455
2001-11-25,0.87434
2001-12-02,0.886929
2001-12-09,0.725881
2001-12-16,0.642863
2001-12-23,0.788769
2001-12-30,1.26526
2002-01-06,1.1145
2002-01-13,1.44692
2002-01-20,1.90055
2002-01-27,2.47923
2002-02-03,1.93336
2002-02-10,1.94518
2002-02-17,2.25859
2002-02-24,2.13879
2002-03-03,2.04094
2002-03-10,1.52733
2002-03-17,1.07506
2002-03-24,0.754221
2002-03-31,0.514304
2002-04-07,0.639122
2002-04-14,0.312585
2002-04-21,0.327089
2002-04-28,0.403172
2002-05-05,0.201078
2002-05-12,0.345971
2002-05-19,0.192165
2002-05-26,0
2002-06-02,0
2002-06-09,0
2002-06-16,0
2002-06-23,0
2002-06-30,0
2002-07-07,0
2002-07-14,0
2002-07-21,0
2002-07-28,0
2002-08-04,0
2002-08-11,0
2002-08-18,0
2002-08-25,0
2002-09-01,0
2002-09-08,0
2002-09-15,0
2002-09-22,0
2002-09-29,0
2002-10-06,0.956286
2002-10-13,1.05164
2002-10-20,0.80937
2002-10-27,1.04113
2002-11-03,1.1647
2002-11-10,1.19694
2002-11-17,1.10455
2002-11-24,1.10444
2002-12-01,1.20943
2002-12-08,1.10385
2002-12-15,1.01517
2002-12-22,1.36661
2002-12-29,1.73547
2003-01-05,1.7773
