"firstday","weighted_ILIpercent"
1997-10-05,1.22926
1997-10-12,1.136
1997-10-19,1.02358
1997-10-26,0.806177
1997-11-02,1.09617
1997-11-09,1.14296
1997-11-16,1.45385
1997-11-23,1.43349
1997-11-30,2.03415
1997-12-07,1.34182
1997-12-14,1.76054
1997-12-21,1.669
1997-12-28,2.53506
1998-01-04,2.76375
1998-01-11,3.41414
1998-01-18,4.49932
1998-01-25,6.15695
1998-02-01,6.54296
1998-02-08,5.36765
1998-02-15,3.88996
1998-02-22,2.33768
1998-03-01,1.02118
1998-03-08,2.21214
1998-03-15,1.76995
1998-03-22,1.11101
1998-03-29,0.90138
1998-04-05,0.819698
1998-04-12,0.502436
1998-04-19,0.367887
1998-04-26,0.390993
1998-05-03,0.291887
1998-05-10,0.376638
1998-05-17,0.232133
1998-05-24,0
1998-05-31,0
1998-06-07,0
1998-06-14,0
1998-06-21,0
1998-06-28,0
1998-07-05,0
1998-07-12,0
1998-07-19,0
1998-07-26,0
1998-08-02,0
1998-08-09,0
1998-08-16,0
1998-08-23,0
1998-08-30,0
1998-09-06,0
1998-09-13,0
1998-09-20,0
1998-09-27,0
1998-10-04,0.328888
1998-10-11,0.939464
1998-10-18,0.944095
1998-10-25,1.37564
1998-11-01,0.45358
1998-11-08,0.500005
1998-11-15,0.69625
1998-11-22,1.35774
1998-11-29,1.14961
1998-12-06,0.896698
1998-12-13,0.697786
1998-12-20,0.79413
1998-12-27,1.62208
1999-01-03,0.910215
1999-01-10,1.50383
1999-01-17,2.489
1999-01-24,4.07786
1999-01-31,6.04282
1999-02-07,9.23642
1999-02-14,9.69358
1999-02-21,7.73185
1999-02-28,7.29517
1999-03-07,3.44618
1999-03-14,5.11371
1999-03-21,2.73789
1999-03-28,1.54458
1999-04-04,0.644008
1999-04-11,0.44092
1999-04-18,0.145081
1999-04-25,0.163653
1999-05-02,0.166663
1999-05-09,0.0453901
1999-05-16,0.0919457
1999-05-23,0
1999-05-30,0
1999-06-06,0
1999-06-13,0
1999-06-20,0
1999-06-27,0
1999-07-04,0
1999-07-11,0
1999-07-18,0
1999-07-25,0
1999-08-01,0
1999-08-08,0
1999-08-15,0
1999-08-22,0
1999-08-29,0
1999-09-05,0
1999-09-12,0
1999-09-19,0
1999-09-26,0
1999-10-03,0.438444
1999-10-10,0.409772
1999-10-17,0.61275
1999-10-24,1.06327
1999-10-31,0.650884
1999-11-07,0.88126
1999-11-14,0.931444
1999-11-21,1.08706
1999-11-28,1.10592
1999-12-05,1.36342
1999-12-12,2.61413
1999-12-19,3.66229
1999-12-26,5.34124
2000-01-02,4.6067
2000-01-09,3.95737
2000-01-16,2.58368
2000-01-23,1.94811
2000-01-30,1.52802
2000-02-06,1.46531
2000-02-13,0.887784
2000-02-20,0.674315
2000-02-27,0.860873
